branch,original_hypothesis,dataset,protocol,primary_endpoint,frozen_gate,observed_result,decision,stopping_reason,surviving_signal,prevented_next_step,prevented_model_runs,final_test_consumed,reusable_asset,manuscript_role
VLM consistency,language consistency predicts annotation utility,GC10-DET,structured full-image pilot,presence/grounding validity,frozen structured validity gate,schema output existed but acquisition-semantic validity collapsed,CLOSE,signal validity prerequisite failed,VLM only as evidence-constrained interface candidate,VLM-scored acquisition and detector training,,False,structured response JSONL and scoring/audit code,negative mechanism evidence
VLM groundedness/oracle crop,better localization context restores grounded defect evidence,GC10-DET,20 oracle crops,"positive presence, evidence, bbox IoU",presence>=0.50; evidence>=0.70,presence=0; evidence=0; median IoU=0; FAIL,CLOSE,failure persisted under oracle localization,none as acquisition signal,prompt/selector expansion,,False,oracle crop manifest and GT audit,strong falsification diagnostic
paired VLM model comparison,collapse is model-specific and another small VLM restores validity,GC10-DET,3 models x 40 paired views,paired balanced accuracy plus grounding,all frozen paired compliance and grounding checks,"0/3 pass; best balanced accuracy=0.70, median IoU=0",CLOSE,different models showed different collapse modes,none as acquisition signal,further small-model prompt/model search,,False,"paired manifests, responses, three audit tables",cross-model negative evidence
NEU DINO cold-start seed45,visual diversity helps initial cold-start,NEU-DET,one frozen acquisition set x 5 training seeds,mAP50-95 stability,gain>=0.01 and 4/5 wins plus safety,PASS: mAP delta=0.016236; 5/5,DIAGNOSTIC_ONLY,one acquisition realization cannot establish selector generalization,fixed-set learner effect,claim of general cold-start superiority,,False,5-seed checkpoints and fixed manifests,motivation for acquisition confirmation
independent acquisition confirmation,seed45 effect generalizes across acquisition sets,NEU-DET,10 new acquisition seeds,paired mAP50-95,gain>=0.01; 7/10; p<=0.05; recall>=0,FAIL: delta=0.007019; CI crosses 0; p=0.322266,CLOSE,acquisition-set generalization failed,training stability does not imply acquisition stability,cold-start selector claim,,False,10-seed frozen results and gate,generalization failure evidence
V10c24 scale extension,detector-aware selector scales at budget120,NEU-DET,seed51 round2 budget120,mAP50-95 and recall/class safety,six frozen scale checks,FAIL: mAP delta=-0.004863,CLOSE,round2 scale gate failed,Random is strong in balanced large pools,additional V10c/V10d scaling,,False,recovered roundwise and per-class CSV,large-pool boundary condition
GC10 global DINO selection-only,global DINO improves rare/taxonomy discovery safely,GC10-DET,"initial20/query20, 200 seeds",rare images/classes plus taxonomy/instance safety,11 frozen checks,PASS: rare images +2.720; rare classes +1.210,TRANSLATION_REQUIRED,selection PASS cannot substitute for learner utility,rare/taxonomy discovery,none at selection stage; authorized one frozen detector confirmation,0.0,False,"selection records, DINO cache, gate",positive discovery case
MPDD global DINO selection-only,global DINO improves anomaly discovery without coverage loss,MPDD,"query20, 200 seeds",anomaly yield plus product-category safety,category delta>=-0.25,FAIL: anomaly +6.245; category -0.325,CLOSE,coverage safety failed and source-origin confound is large,anomaly discovery under source shift,downstream anomaly-model experiment,,False,selection records and source-origin decomposition,discovery/coverage trade-off
VisA global DINO selection-only,global DINO improves sparse anomaly discovery without category collapse,VisA,"query20, 200 seeds",anomaly yield plus 12-category safety,category coverage not worse,FAIL: anomaly +14.480; categories -4.110,CLOSE,severe category collapse,sparse anomaly discovery,downstream anomaly-model experiment,,False,selection records and leave-one-category audit,strong discovery/coverage trade-off
GC10 D2R label-aware retrieval,label-aware global retrieval repairs class-8 representation,GC10-DET,"1,000 frozen replay states",class-8 top1/P@5/top32 recovery,top1>=0.50 and six additional checks,FAIL: best top1=0.153846; 0 eligible methods,CLOSE,class-8 representation was not recovered,none,15-model D2R detector confirmation,15.0,False,frozen replay states and class-8 audit,representation failure mechanism
