dataset,task_type,annotation_type,pool_condition,target_definition,target_prevalence,strategy,baseline,acquisition_budget,acquisition_seed_count,training_seed_count,target_yield_baseline,target_yield_strategy,target_yield_gain,target_enrichment,category_coverage_baseline,category_coverage_strategy,category_coverage_delta,rare_image_delta,rare_class_delta,source_coverage_delta,production_group_delta,redundancy_metric,redundancy_delta,downstream_metric_name,downstream_baseline,downstream_strategy,downstream_delta,rare_metric_name,rare_baseline,rare_strategy,rare_delta,recall_delta,gate_name,gate_threshold,gate_result,evidence_level,confound,interpretation,source_file
GC10-DET,object_detection,native_bbox_10_class,all-defect cold-start taxonomy; initial20/query20,query images containing rare classes 8/9/10,all images defective; rare target heterogeneous,FrozenDINOVisualDiversity,GTFreeRandom,20,200.0,,2.17,4.89,2.72,2.2534562211981566,9.07,9.895,0.825,2.72,1.21,,,query_pairwise_cosine_similarity_mean,-0.2525296245515346,,,,,,,,,,GC10 taxonomy selection-only,all 11 frozen checks; rare-image gain>=0.75; combined-class gain>=0.25,PASS,confirmatory_pass,full-image DINO may encode production texture; downstream evaluated separately,"Equal-budget discovery and taxonomy gain passed, but does not itself establish detector utility.",runs/gc10_taxonomy_selection_audit/gc10_random_vs_dino_200seed_20260715/gc10_metric_summary.csv; runs/gc10_taxonomy_selection_audit/gc10_random_vs_dino_200seed_20260715/gc10_selection_only_gate.csv
GC10-DET,object_detection,native_bbox_10_class,selected-set detector translation; initial20/query20,detector development utility from frozen selected sets,not a discovery endpoint,FrozenDINOVisualDiversity,GTFreeRandom,20,5.0,3.0,,,,,,,,,,,,,,YOLOv8n development mAP50-95,0.124235375700711,0.1416137826325801,0.0173784069318691,rare classes 8/9/10 macro AP50-95,0.0365074887477236,0.0166307432022973,-0.0198767455454263,0.0353814214043206,GC10 detector development confirmation,mAP gain>=0.010 and rare macro AP gain>=0.020 plus class/recall safety,FAIL,confirmatory_fail,five acquisition realizations; development split reused; 15 paired training realizations are not 15 independent acquisitions,"Overall mAP increased +0.017378, but rare macro AP decreased -0.019877; translation gate failed.",runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_acquisition_seed_summary.csv; runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_class_group_macro_summary.csv; runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_development_confirmation_gate.csv
MPDD,industrial_anomaly_localization,pixel_mask_and_derived_bbox,normal-centered heterogeneous product/source pool,anomaly images in 20-image review query,sparse anomaly within mixed official train/test-origin pool,FrozenCategoryBalancedDINO,GTFreeRandom,20,200.0,,4.06,10.305,6.245,2.538177339901478,5.8,5.475,-0.325,,,,,query_pairwise_cosine_similarity_mean,-0.0467348831146955,,,,,,,,,,MPDD selection-only anomaly+category safety,anomaly gain>=2; CI low>0; win rate>=0.65; category delta>=-0.25,FAIL,confirmatory_fail,official-test-origin image count increased by 6.81/20; source composition explains part of gain,"Equal-budget anomaly discovery increased +6.245, while product-category coverage delta -0.325 violated safety.",runs/mpdd_selection_only_audit/mpdd_hierarchical_dino_200seed_20260715/mpdd_metric_summary.csv; runs/mpdd_selection_only_audit/mpdd_hierarchical_dino_200seed_20260715/mpdd_selection_only_gate.csv; runs/mpdd_selection_only_audit/mpdd_hierarchical_dino_200seed_20260715/mpdd_source_origin_paired_summary.csv
VisA,industrial_anomaly_discovery,image_label_and_pixel_mask,anomaly-sparse 12-product pool,anomaly images in 20-image review query,"960 anomalies in 8,650-image acquisition pool (protocol audit)",FrozenDINOVisualDiversity,GTFreeRandom,20,200.0,,2.155,16.635,14.48,7.71925754060325,9.82,5.71,-4.11,,,,,query_pairwise_cosine_similarity_mean,0.1542597131431102,,,,,,,,,,VisA selection-only anomaly+category safety,anomaly gain>=2; CI low>0; win rate>=0.65; category coverage not worse,FAIL,confirmatory_fail,strategy concentrated on anomaly-rich visual/product modes; category collapse,Largest discovery gain (+14.480/20) co-occurred with -4.110 object categories; success cannot be called coverage-safe.,runs/visa_selection_only_audit/visa_random_vs_visual_200seed_20260715/visa_metric_summary.csv; runs/visa_selection_only_audit/visa_random_vs_visual_200seed_20260715/visa_selection_only_gate.csv
NEU-DET,object_detection,native_bbox_6_class,seed45 frozen cold-start set; initial15+query5,development detector mAP50-95,balanced six-class dataset,Visual20,Random20,20,1.0,5.0,,,,,,,,,,,,,,YOLO development mAP50-95,0.1875503786831529,0.2037860435765576,0.0162356648934047,,,,,0.0575701406772446,fixed-set training-seed stability,mAP gain>=0.01; >=4/5 wins; recall>=-0.01; class safety,PASS,diagnostic,single favorable acquisition realization selected post-observation,"Training-seed stability (5/5 wins) shows a set effect, not acquisition-set generalization.",runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/aggregate_metrics.csv; runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv
NEU-DET,object_detection,native_bbox_6_class,independent cold-start acquisitions; initial15+query5,development detector mAP50-95,balanced six-class dataset,Frozen Visual diversity,GTFreeRandom,20,10.0,1.0,,,,,,,,,,,,,,YOLO development mAP50-95,0.1643532,0.1713719,0.0070187,,,,,0.0101867,independent acquisition confirmation,mean mAP gain>=0.01; >=7/10 wins; exact sign-flip p<=0.05; recall nonnegative,FAIL,independent_confirmation_fail,one training seed per acquisition; descriptive bootstrap CI includes zero,The fixed-set effect did not generalize across acquisition realizations.,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_metric_summary.csv; runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv
NEU-DET,object_detection,native_bbox_6_class,balanced large-pool V10c24 scale extension seed51 round2,development detector mAP50-95,balanced large-pool,DetectorRecallGuardDINOInstanceV10c,GTFreeRandom,120,1.0,1.0,,,,,,,,,,,,,,YOLO development mAP50-95,0.3143329565830363,0.3094698949199987,-0.0048630616630376,,,,,0.000947442381504,V10c24 round2 scale gate,six frozen scale checks; positive mAP/recall/F1 and class safety,FAIL,confirmatory_fail,single scale-smoke acquisition seed,"At budget120, mAP50-95 delta was -0.004863; the candidate did not scale.",runs/active_learning_v10c24_round2_scale_smoke/v10c24_round2_scale_smoke_20260713_225326/roundwise_random_v10c24_comparison.csv; runs/active_learning_v10c24_round2_scale_smoke/v10c24_round2_scale_smoke_20260713_225326/round2_scale_gate.csv
GC10-DET,object_detection,native_bbox_10_class,DCAL-XAI R1 detector difficulty+flip disagreement; initial20/query20,rare-image and taxonomy discovery with instance noninferiority,all-defect pool; rare classes 8/9/10,DetectorDifficultyDiversity,Random,20,5.0,,1.4,3.4,2.0,2.428571428571429,8.8,9.4,0.6,2.0,1.0,,,,,,,,,,,,,,DCAL-XAI R1 selection gate,all seven checks; query instances noninferiority vs Random,FAIL,confirmatory_fail,94/100 choices dominated by one-view flip detections; geometry/augmentation confound,"Rare coverage improved, but query instances -2.2 failed the frozen gate and the uncertainty mechanism was invalid.",runs/dcal_xai/gc10_r1/selection_metrics_posthoc.csv; runs/dcal_xai/gc10_r1/selection_comparisons.csv; runs/dcal_xai/gc10_r1/selection_gate.csv
GC10-DET,object_detection,native_bbox_10_class,budget140 design selection,rare images and all-class coverage at initial budget,all-defect pool; rare classes 8/9/10,DINOClusterCoverageK40,Random140,140,200.0,,14.965,16.77,1.8049999999999997,1.1206147677915135,0.925,0.96,0.03499999999999992,1.8049999999999997,,,2.3200000000000074,pairwise cosine similarity mean,-0.009636966395199842,,,,,,,,,,V2.1 design candidate gate,all-class>=0.90; all-rare>=0.90; min-two>=0.75; production/instance/redundancy safety,PASS,exploratory_positive,candidate selected on design seeds,Design-stage coverage candidate; cannot be upgraded to confirmation.,runs/dcal_xai/v2_budget_extended/budget_summary.csv; runs/dcal_xai/v2_budget_extended/decision.json
GC10-DET,object_detection,native_bbox_10_class,budget140 independent holdout selection,rare images and all-class coverage at initial budget,all-defect pool; rare classes 8/9/10,DINOClusterCoverageK40,Random140,140,200.0,,15.29,17.11,1.8200000000000003,1.1190320470896011,0.94,0.955,0.015000000000000013,1.8200000000000003,,,2.8699999999999903,pairwise cosine similarity mean,-0.01060839959615667,,,,,,,,,,V2.1 holdout selection gate,unchanged design thresholds: all-class>=0.90; all-rare>=0.90; min-two>=0.75; safety,PASS,confirmatory_pass,"selection endpoint is coverage, not learner utility",Holdout coverage safety passed and authorized only the frozen YOLOv8n screen.,runs/dcal_xai/v2_budget_extended/budget_summary.csv; runs/dcal_xai/v2_budget_extended/decision.json
GC10-DET,object_detection,native_bbox_10_class,budget140 YOLOv8n downstream translation,development detector learning utility,all-defect pool,DINOClusterCoverageK40,Random140,140,5.0,3.0,,,,,,,,,,,,,,YOLOv8n development mAP50-95,0.19887986346270897,0.1972021188627239,-0.001677744599985,rare classes 8/9/10 macro AP50-95,0.07726309550078317,0.058973560387467865,-0.018289535113315297,-0.0218708249144409,V2.2 YOLOv8n screen,mAP noninferiority; rare macro noninferiority; worst-class safety; stability; recall noninferiority,FAIL,confirmatory_fail,development only; acquisition seed is inferential unit,"Coverage gain did not translate: mAP -0.001678, rare macro AP -0.018290, recall -0.021871.",runs/dcal_xai/v2_backbone_main/v8n_screen_metrics.csv; runs/dcal_xai/v2_backbone_main/v8n_screen_contrasts.csv; runs/dcal_xai/v2_backbone_main/v8n_screen_decision.json
GC10-DET,object_detection,native_bbox_10_class,"frozen 1,000-state label-aware retrieval replay",class-8 top-1 retrieval hit,class 8 target states only (351 rounds; 130 acquisition seeds),nearest_target_exemplar,centroid_similarity,32,130.0,,0.1168091168091168,0.1538461538461538,0.037037037037037,1.317073170731707,,,,,,,,,,,,,,,,,,,class-8 representation recovery,top1>=0.50; CI low>=0.40; P@5>=0.40; top32 presence>=0.80; gain>=0.25,FAIL,diagnostic,frozen replay only; alternative choices not fed into later states,Best top-1 hit 0.153846 remained far below 0.50; representation branch is not recoverable.,runs/gc10_discovery_representation_audit/gc10_d2r_200seed_20260715/label_aware_retrieval_audit/label_aware_class8_summary.csv; runs/gc10_discovery_representation_audit/gc10_d2r_200seed_20260715/label_aware_retrieval_audit/label_aware_class8_recovery_gate.csv
GC10-DET,object_detection,native_bbox_10_class,existing Random140 checkpoints on 232-image development split,top-20% total FP+FN error enrichment,error prevalence varies by checkpoint; not pooled across training seeds,ensemble_combined_uncertainty,uniform random review,47,5.0,3.0,,,,1.1159008047688797,,,,,,,,,,majority-error AUROC,0.5,0.7664320782804007,0.2664320782804007,,,,,,V2.3 detector signal validity,total-error enrichment>=1.50; CI low>1; AUROC>=0.65; Spearman>=0.20; stability>=0.50,FAIL,confirmatory_fail,development split reused; total error mixes FP and FN; 5 acquisition units,"Six of seven checks passed, but the frozen primary effect-size gate failed at 1.115901.",runs/dcal_xai/v2_detector_signal_validity/decision.json; runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv
GC10-DET,object_detection,native_bbox_10_class,same frozen V2.3 development audit,top-20% false-negative enrichment (secondary diagnostic),rare GT: 18 images / 22 boxes,ensemble_combined_uncertainty_FN_diagnostic,uniform random review,47,5.0,3.0,,,,1.3796926704945667,,,,,,,,,,,,,,rare-FN enrichment,1.0,1.7859103354085288,0.7859103354085288,,not a preregistered primary gate,none; hypothesis generation only,NOT_PRIMARY,exploratory_positive,post-hoc endpoint; rare counts only 18 images/22 boxes; no untouched validation,"FN 1.379693 and rare-FN 1.785910 are hypothesis-generating, not a rescued AL PASS.",runs/dcal_xai/v2_detector_signal_validity/decision.json; runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv
GC10-DET,vlm_signal_validity,oracle_bbox_crop_posthoc_diagnostic,20 positive oracle crops,defect presence/evidence and grounded bbox response,20/20 positive by construction,Qwen2-VL structured validity response,frozen validity thresholds,20,,,,0.0,,,,,,,,,,,,,,,,,,,,,oracle-crop VLM validity,parse>=0.90; informative>=0.90; positive presence>=0.50; defect evidence>=0.70,FAIL,diagnostic,oracle crop is easier than deployable full-image selection; still all-negative presence collapse,"Parse/informative rates were 1.0, but presence, evidence and median IoU were 0.",runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_metrics.csv; runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_gate.csv
