hypothesis_id,research_phase,original_hypothesis,original_claim_strength,original_source,dataset,method,primary_metric,frozen_gate,observed_result,evidence_status,failure_or_support_mechanism,revised_research_question,allowed_claim,prohibited_claim,manuscript_section,source_file
H01,initial_plan,VLM 설명 Self-Consistency는 epistemic uncertainty의 직접 근사치이다.,theoretical proof,초기 발표 p.11; 연구계획서 p.3-4,NEU-DET; GC10-DET,multi-prompt semantic consistency,consistency-error/groundedness correlation,legacy Spearman>=0.20 and AUC>=0.60,"Spearman=-0.181199, CI [-0.389654, 0.036410]; severe-failure AUC=0.373433; gate 0/6",rejected,consistent hallucination and semantic consistency-grounding decoupling,언어적 일관성이 어떤 조건에서도 acquisition signal로 번역되지 않는가?,본 설정에서 consistency는 epistemic uncertainty의 유효한 직접 근사가 아니었다.,VLM epistemic uncertainty를 증명했다.,4.2 VLM consistency validity,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv
H02,initial_plan,낮은 consistency는 detector 오류와 양의 상관을 가진다.,H1 confirmatory,초기 발표 p.11; 타당성 연구 p.7,GC10-DET; NEU-DET,legacy consistency audit,Spearman and severe-failure AUC,positive correlation in every dataset,GC10 Spearman=-0.311545; NEU=-0.084942; expected direction not observed,confirmatory_negative,response agreement did not track visual correctness,consistency와 grounding을 먼저 분리 검증해야 하는가?,예상한 오류 상관 방향은 확인되지 않았다.,낮은 consistency가 높은 오류를 예측한다.,4.2 VLM consistency validity,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv
H03,initial_plan,Consistency 기반 selection은 Random/Entropy보다 detector learning curve가 우수하다.,H2 superiority,초기 발표 p.11; 연구계획서 p.6,NEU-DET,VLM consistency selector family,mAP50-95 vs label budget,stable superiority across acquisition seeds,VLM validity prerequisite failed; later GT-free selector branches did not stably beat Random,rejected,signal validity failed before learning utility,selection 전에 signal validity를 gate할 수 있는가?,VLM consistency selector branch was stopped at validity stage.,Consistency selection is superior to Random.,4.4 branch decision,docs/branch_decision_table_20260718.csv
H04,vlm_grounding,Detection-oriented prompt와 groundedness를 결합하면 VLM selection utility가 복구된다.,method repair,"VLM 문헌지도 p.1, p.7",GC10-DET,structured full-image prompts,"schema, bbox coverage, IoU",schema/informative>=0.90; bbox coverage>=0.80,schema completeness=0.01; bbox coverage=0.30; median IoU=0; gate FAIL,rejected,structured compliance and visual grounding collapse,oracle localization에서도 grounding이 복구되는가?,Prompt 구조화만으로 grounded acquisition signal이 복구되지 않았다.,Groundedness 결합이 selection utility를 향상했다.,4.3 groundedness audit,runs/vlm_consistency_groundedness_validity/structured_prompt_pilot20_gc10_20260715/groundedness_audit/structured_groundedness_metrics.csv
H05,vlm_grounding,Oracle crop이 위치 문맥을 제공하면 positive evidence와 bbox grounding이 복구된다.,strong diagnostic,oracle crop frozen protocol,GC10-DET,20 positive oracle crops,"presence, evidence, median IoU",presence>=0.50; evidence>=0.70,"parse=1.0, informative=1.0, presence=0, evidence=0, median IoU=0; FAIL",confirmatory_negative,all-negative presence collapse persisted under oracle localization,collapse가 특정 모델에 한정되는가?,더 쉬운 oracle crop 조건에서도 grounded defect evidence가 실패했다.,Full-image 난이도만이 VLM 실패 원인이다.,4.3 oracle crop diagnostic,runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_metrics.csv
H06,vlm_grounding,다른 소형 Qwen VLM은 compliance-grounding collapse를 복구한다.,cross-model confirmation,paired model comparison protocol,GC10-DET,3 models x 40 paired views,balanced accuracy and median bbox IoU,"all compliance, sensitivity, specificity and grounding checks",0/3 pass; best balanced accuracy=0.70 with median IoU=0,confirmatory_negative,model-specific but persistent collapse modes,VLM은 acquisition scorer가 아니라 evidence-constrained interface로만 제한해야 하는가?,검토한 세 소형 모델에서 deployable grounded signal을 얻지 못했다.,모델 교체로 VLM signal validity가 해결됐다.,4.4 paired model comparison,runs/vlm_consistency_groundedness_validity/paired_model_comparison_gc10_20260715/comparison/paired_model_gate_comparison.csv
H07,gt_free_selection,Global DINO diversity/coverage는 중복을 줄이고 범용 detector utility를 높인다.,cross-dataset utility,초기 AL diversity 근거; DINO branch protocols,NEU-DET; GC10-DET; MPDD; VisA,frozen global DINO,"discovery, composition, downstream mAP",dataset-specific selection and translation gates,"Discovery gains existed, but VisA category collapse, MPDD source confound, GC10 rare-AP loss and NEU non-generalization occurred",rejected,global representation follows dominant product/source/texture variation rather than local defect utility,"Discovery, composition safety and learner utility를 분리해야 하는가?",Global DINO는 일부 fixed benchmark discovery endpoint를 개선했지만 범용 utility는 보장하지 않았다.,DINO diversity generally improves detector performance.,5-6 selection and translation,docs/stratified_condition_robustness_decision_20260718.md
H08,cold_start,NEU seed45의 고정 Visual20 집합은 training seed 변화에도 Random20보다 우수하다.,fixed-set diagnostic,V8 seed45 post-hoc clue,NEU-DET,one acquisition set x 5 training seeds,mAP50-95 difference,gain>=0.01; >=4/5 wins; safety,"+0.016236, 5/5 wins, descriptive CI about [0.006738, 0.027864]; fixed-set gate PASS",descriptive_positive,selected-set effect was not explained solely by training noise,새 acquisition set에서도 반복되는가?,그 한 고정 선택 집합은 다섯 training seeds에서 안정적이었다.,Cold-start DINO selector generally outperforms Random.,6.3 seed45 fixed-set diagnostic,runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv
H09,cold_start_confirmation,Seed45 효과는 새로운 acquisition seeds에 일반화된다.,preregistered confirmation,V8 cold-start confirmation protocol,NEU-DET,10 new acquisition seeds,paired mAP50-95 difference,gain>=0.01; >=7/10; p<=0.05; recall safety,"+0.007019; CI [-0.005211, 0.019678]; p=0.322266; 7/10; FAIL",confirmatory_negative,acquisition-set non-generalization,training-seed stability와 acquisition robustness를 구분해야 하는가?,Fixed-set stability did not establish acquisition-set generalization.,Seed45 result was independently confirmed.,6.4 acquisition confirmation,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv
H10,random_audit,Random은 class/instance/bbox coverage가 약한 baseline이다.,baseline assumption,early selector framing,NEU-DET,V10c24 Random post-hoc audit,"class coverage, instance diversity, bbox richness",audit only,"Random already supplied broad class coverage, instance diversity and bbox richness in the balanced large pool",rejected,balanced pool and non-tiny budget make Random robust,Random이 강한 pool 조건은 무엇인가?,Balanced large-pool NEU에서 Random은 강한 baseline이었다.,Random is a weak baseline.,6.2 Random baseline strength,runs/random_baseline_audit_v10c24/random_baseline_audit_20260713_225216/random_baseline_audit_summary.md
